SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BPCL,Bharat Petroleum Corporation Limited,EQ,34955,10,1,INE029A01011,10
RELIANCE,Reliance Industries Limited,EQ,35032,10,1,INE002A01018,10
COALINDIA,Coal India Limited,EQ,40486,10,1,INE522F01014,10
HINDALCO,Hindalco Industries Limited,EQ,35438,1,1,INE038A01020,1
NESTLEIND,Nestle India Limited,EQ,45139,1,1,INE239A01024,1
BEL,Bharat Electronics Limited,EQ,36726,1,1,INE263A01024,1
ASIANPAINT,Asian Paints Limited,EQ,34850,1,1,INE021A01026,1
POWERGRID,Power Grid Corporation of India Limited,EQ,39360,10,1,INE752E01010,10
TATASTEEL,Tata Steel Limited,EQ,36117,1,1,INE081A01020,1
LT,Larsen & Toubro Limited,EQ,38161,2,1,INE018A01030,2
SBILIFE,SBI Life Insurance Company Limited,EQ,43011,10,1,INE123W01016,10
ITC,ITC Limited,EQ,34934,1,1,INE154A01025,1
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,36117,1,1,INE192A01025,1
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,34738,1,1,INE044A01036,1
ONGC,Oil & Natural Gas Corporation Limited,EQ,34899,5,1,INE213A01029,5
TITAN,Titan Company Limited,EQ,38254,1,1,INE280A01028,1
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,39413,2,1,INE742F01042,2
GRASIM,Grasim Industries Limited,EQ,34829,2,1,INE047A01021,2
HCLTECH,HCL Technologies Limited,EQ,36531,2,1,INE860A01027,2
HINDUNILVR,Hindustan Unilever Limited,EQ,34886,1,1,INE030A01027,1
TATAMOTORS,Tata Motors Limited,EQ,35998,2,1,INE155A01022,2
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,37771,1,1,INE089A01031,1
HEROMOTOCO,Hero MotoCorp Limited,EQ,37722,2,1,INE158A01026,2
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,35074,5,1,INE437A01024,5
JSWSTEEL,JSW Steel Limited,EQ,38434,1,1,INE019A01038,1
BRITANNIA,Britannia Industries Limited,EQ,36104,1,1,INE216A01030,1
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,43056,10,1,INE795G01014,10
NTPC,NTPC Limited,EQ,38296,10,1,INE733E01010,10
MARUTI,Maruti Suzuki India Limited,EQ,37811,5,1,INE585B01010,5
TCS,Tata Consultancy Services Limited,EQ,38224,1,1,INE467B01029,1
BAJAJ-AUTO,Bajaj Auto Limited,EQ,39594,10,1,INE917I01010,10
CIPLA,Cipla Limited,EQ,34738,2,1,INE059A01026,2
TRENT,Trent Limited,EQ,38145,1,1,INE849A01020,1
INDUSINDBK,IndusInd Bank Limited,EQ,35823,10,1,INE095A01012,10
SBIN,State Bank of India,EQ,34759,1,1,INE062A01020,1
ULTRACEMCO,UltraTech Cement Limited,EQ,38223,10,1,INE481G01011,10
BHARTIARTL,Bharti Airtel Limited,EQ,37302,5,1,INE397D01024,5
EICHERMOT,Eicher Motors Limited,EQ,38237,1,1,INE066A01021,1
BAJAJFINSV,Bajaj Finserv Limited,EQ,39594,1,1,INE918I01026,1
HDFCBANK,HDFC Bank Limited,EQ,35011,1,1,INE040A01034,1
BAJFINANCE,Bajaj Finance Limited,EQ,37712,2,1,INE296A01024,2
ADANIENT,Adani Enterprises Limited,EQ,35585,1,1,INE423A01024,1
TECHM,Tech Mahindra Limited,EQ,38957,5,1,INE669C01036,5
ICICIBANK,ICICI Bank Limited,EQ,35690,2,1,INE090A01021,2
M&M,Mahindra & Mahindra Limited,EQ,35067,5,1,INE101A01026,5
WIPRO,Wipro Limited,EQ,35011,2,1,INE075A01022,2
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,35053,5,1,INE237A01028,5
SHRIRAMFIN,Shriram Finance Limited,EQ,35410,2,1,INE721A01047,2
AXISBANK,Axis Bank Limited,EQ,36115,2,1,INE238A01034,2
INFY,Infosys Limited,EQ,34738,5,1,INE009A01021,5
